decision_id	packet_id	packet_item_id	comparison_id	comparison_row_sha256	reviewer_a_review_id	reviewer_a_row_sha256	reviewer_b_review_id	reviewer_b_row_sha256	parent_dual_review_manifest_sha256	packet_manifest_sha256	batch_id	screen_id	gene_symbol	disposition	validation_event_id	validation_event_row_sha256	followup_roster_status	adjudicator_name	adjudicator_id	adjudicator_affiliation	adjudicated_date	source_evidence_reviewed_attested	independent_human_decision_attested	reviewer_identity_independence_attested	model_outputs_unseen_attested	no_automated_label_assignment_attested	conflict_of_interest_declared	conflict_of_interest_notes	evidence_source_locator	decision_rationale
orcs-2.0.18-batch-001-adjudication-v1:item:8ad58684fa59b12713b3297c49e5e210d79df3d7cda7adfe1dfeb4ddd9064dcf:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:8ad58684fa59b12713b3297c49e5e210d79df3d7cda7adfe1dfeb4ddd9064dcf	orcs-2.0.18-batch-001:review-comparison:sha256:b1a1c737dfc5426ab394ca4f27f12b2ed1a4c83b60e752ad4f4ad606c7a8fdf6	bf132724830482f198ca9f77cef0de9728e4e4af97d7cc2736919da08ab75dcb	orcs:2.0.18:full-text-review:screen:1:v1	43541cbe6adcad2ac7a892fa48d11d4a85c9d3942061d31f0e655d8239932311	orcs:2.0.18:full-text-review:screen:1:v2	ed3bd85244e36ab5ab68773e5c7851acb954a802360aeabd91649d534dc6fd93	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1	CDK6																	
orcs-2.0.18-batch-001-adjudication-v1:item:5324850d5614a5550aaf60c5cd071b7ca50649ed163763cea56d1879dabb26c4:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:5324850d5614a5550aaf60c5cd071b7ca50649ed163763cea56d1879dabb26c4	orcs-2.0.18-batch-001:review-comparison:sha256:3f67c93c0d792dc8ccb3d93c8a2f3d102203c699a608668fe404cdafbba4111f	8d1c192101b6ef0875079048249f3a2ad60df89f4343a0a205315afd02e0caad	orcs:2.0.18:full-text-review:screen:1:v1	43541cbe6adcad2ac7a892fa48d11d4a85c9d3942061d31f0e655d8239932311	orcs:2.0.18:full-text-review:screen:1:v2	ed3bd85244e36ab5ab68773e5c7851acb954a802360aeabd91649d534dc6fd93	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1	TOP2A																	
orcs-2.0.18-batch-001-adjudication-v1:item:6815d85bcdbf935504c20d38d1887e50cf3241e8764dd5492cc783cd8515f16e:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:6815d85bcdbf935504c20d38d1887e50cf3241e8764dd5492cc783cd8515f16e	orcs-2.0.18-batch-001:review-comparison:sha256:61f1183b08effe58423bc1f70fb43ab11d9a328c9c7cde2b5b7fc284e03cdde0	d4fdd7e31a33185d15130d15c05bd5de2361d6b8de4ffb493b4675e7f2cfef9b	orcs:2.0.18:full-text-review:screen:1153:v1	ebbb5cfd7aab0d282a8f0369c4e63b964a0f8ff3e559080e34e9793a85969c0f	orcs:2.0.18:full-text-review:screen:1153:v2	2880a8752d808249060139c1c7c61ff2979b55ebb524b7325ece67362d5e6a9d	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1153	COQ10B																	
orcs-2.0.18-batch-001-adjudication-v1:item:31e3e9899218cc251ee4f736b8fae51fa4b6f4c316f1f7e3acc6ac6e9d5eadaa:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:31e3e9899218cc251ee4f736b8fae51fa4b6f4c316f1f7e3acc6ac6e9d5eadaa	orcs-2.0.18-batch-001:review-comparison:sha256:389b550beee2a5c2a75753b68b4b6b836e1b5fa890a2086df5fbfca9f2109369	953fd7a22deb514fa4fd8507256155304dcf1e8edea76f7997f666c1b640c735	orcs:2.0.18:full-text-review:screen:1153:v1	ebbb5cfd7aab0d282a8f0369c4e63b964a0f8ff3e559080e34e9793a85969c0f	orcs:2.0.18:full-text-review:screen:1153:v2	2880a8752d808249060139c1c7c61ff2979b55ebb524b7325ece67362d5e6a9d	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1153	COQ9																	
orcs-2.0.18-batch-001-adjudication-v1:item:f5cb5f619d70d2d98a117a9001d0d3b5a5399ae3b5c99813b91e29b228ee7aea:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:f5cb5f619d70d2d98a117a9001d0d3b5a5399ae3b5c99813b91e29b228ee7aea	orcs-2.0.18-batch-001:review-comparison:sha256:8d3167668e534d8c81dd61b8f6024160467cb2d918ecbd3c60070befc64b3350	3a17e3b3e18b61a2893383bcdf0d34ed21203a50d98d496cf7d99541034c2bdb	orcs:2.0.18:full-text-review:screen:1153:v1	ebbb5cfd7aab0d282a8f0369c4e63b964a0f8ff3e559080e34e9793a85969c0f	orcs:2.0.18:full-text-review:screen:1153:v2	2880a8752d808249060139c1c7c61ff2979b55ebb524b7325ece67362d5e6a9d	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1153	DEPDC5																	
orcs-2.0.18-batch-001-adjudication-v1:item:4ca529d3a0c63330afb2a324e98fce7ff8836302bd1988f1703167bbebf0f8e6:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:4ca529d3a0c63330afb2a324e98fce7ff8836302bd1988f1703167bbebf0f8e6	orcs-2.0.18-batch-001:review-comparison:sha256:c74ae3275427becd00273e2c0952439c7a3ccf0bfe0f7a97c33b8e461e1ed4d9	852be4f1aa9515d8d5a3fb5d8308e3c772712847da4f830f8414d428d4245918	orcs:2.0.18:full-text-review:screen:1153:v1	ebbb5cfd7aab0d282a8f0369c4e63b964a0f8ff3e559080e34e9793a85969c0f	orcs:2.0.18:full-text-review:screen:1153:v2	2880a8752d808249060139c1c7c61ff2979b55ebb524b7325ece67362d5e6a9d	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1153	NPRL2																	
orcs-2.0.18-batch-001-adjudication-v1:item:c300aa08d9bd3f091a2660a6f9a3044bb67e4f66126a041857f72d2879a1507f:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:c300aa08d9bd3f091a2660a6f9a3044bb67e4f66126a041857f72d2879a1507f	orcs-2.0.18-batch-001:review-comparison:sha256:9d054ad11609a08a396b4c9a1208e7215323d83bcdc8b897aaa53ed42c3b8f2a	9be1b6d5cfdd6a396b69eedd2664c3f82cab4e4ae33e8c68f457b87303368699	orcs:2.0.18:full-text-review:screen:1153:v1	ebbb5cfd7aab0d282a8f0369c4e63b964a0f8ff3e559080e34e9793a85969c0f	orcs:2.0.18:full-text-review:screen:1153:v2	2880a8752d808249060139c1c7c61ff2979b55ebb524b7325ece67362d5e6a9d	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:1153	PDSS2																	
orcs-2.0.18-batch-001-adjudication-v1:item:b05bd02048eeb2bc6e1d903e3fb43ae5d04193ec1f05e3e99786e953fecc1fa3:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:b05bd02048eeb2bc6e1d903e3fb43ae5d04193ec1f05e3e99786e953fecc1fa3	orcs-2.0.18-batch-001:review-comparison:sha256:f53d166d0670b99a4fa5fadf3c6e97711f095b4f76777248e896359e4812a872	4fc1884a277aa4bdf405baa16cb1588c94e51b8d746b4508cc0bd3076c3213df	orcs:2.0.18:full-text-review:screen:85:v1	e3f0f9188c49b2271e67395e3ed15a6443d5fc62e0053ca594cd430d1172b006	orcs:2.0.18:full-text-review:screen:85:v2	f39152e0696a2c1a5950dc68d28c0b5a0b456e70fcbd645af402dd2d290a9d04	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:85	KEAP1																	
orcs-2.0.18-batch-001-adjudication-v1:item:0a352bd7bce40c8ce98cb67b92d11c7c382997aa2bcee35f894ee3c3215f451c:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:0a352bd7bce40c8ce98cb67b92d11c7c382997aa2bcee35f894ee3c3215f451c	orcs-2.0.18-batch-001:review-comparison:sha256:7d76d2d487db2b3466402cef0360259bfc285e2de0316790032eec447065eada	a3934c0e2151df103d45449845d5d2be7ff61092f075a0229bf45e6b49ef1062	orcs:2.0.18:full-text-review:screen:85:v1	e3f0f9188c49b2271e67395e3ed15a6443d5fc62e0053ca594cd430d1172b006	orcs:2.0.18:full-text-review:screen:85:v2	f39152e0696a2c1a5950dc68d28c0b5a0b456e70fcbd645af402dd2d290a9d04	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:85	NFE2L2																	
orcs-2.0.18-batch-001-adjudication-v1:item:3f051e4cf9308c9a308d9e24f9d67d0d596f61e7b81e01a0dbf3771131f83f82:decision:v1	orcs-2.0.18-batch-001-adjudication-v1	orcs-2.0.18-batch-001-adjudication-v1:item:3f051e4cf9308c9a308d9e24f9d67d0d596f61e7b81e01a0dbf3771131f83f82	orcs-2.0.18-batch-001:review-comparison:sha256:d3eef39130871cf5fa0e62410c4a54aad04f9c3aac7d07c4eb02e8e1927c6934	2a0e4b6b8a92a0dc8fb0f1ba8935d529c565d1d08a45d588806fcca8d2db5b76	orcs:2.0.18:full-text-review:screen:2169:v1	3ca690cf61a8ba6080b7a4705b4946249ee5df646e2f6acf53bc34f76350b1f3	orcs:2.0.18:full-text-review:screen:2169:v2	35f03e308502644b8d21653b1ea9244b61267df02578d8ca6ee87d259f4ba570	4482acfaf1b9670d4e7c5e2dfa65cdf98ce6b24a69995ca7ebe34ff0abed2bf8		orcs-2.0.18-batch-001	orcs:2.0.18:screen:2169	CIC																	
